NatomsRetained = 1297   ||  NMapping = 31/50  ||  time = 6.2201 sec |||  131/10900
NatomsRetained = 1297   ||  NMapping = 32/50  ||  time = 6.3032 sec |||  132/10900
NatomsRetained = 1297   ||  NMapping = 33/50  ||  time = 6.2155 sec |||  133/10900
NatomsRetained = 1297   ||  NMapping = 34/50  ||  time = 6.1569 sec |||  134/10900
NatomsRetained = 1297   ||  NMapping = 35/50  ||  time = 6.2204 sec |||  135/10900
NatomsRetained = 1297   ||  NMapping = 36/50  ||  time = 6.4299 sec |||  136/10900
NatomsRetained = 1297   ||  NMapping = 37/50  ||  time = 6.3163 sec |||  137/10900
NatomsRetained = 1297   ||  NMapping = 38/50  ||  time = 6.2106 sec |||  138/10900
NatomsRetained = 1297   ||  NMapping = 39/50  ||  time = 6.1899 sec |||  139/10900
NatomsRetained = 1297   ||  NMapping = 40/50  ||  time = 6.3596 sec |||  140/10900
NatomsRetained = 1297   ||  NMapping = 41/50  ||  time = 6.1025 sec |||  141/10900
NatomsRetained = 1297   ||  NMapping = 42/50  ||  time = 6.3108 sec |||  142/10900
NatomsRetained = 1297   ||  NMapping = 43/50  ||  time = 6.2176 sec |||  143/10900
NatomsRetained = 1297   ||  NMapping = 44/50  ||  time = 6.1331 sec |||  144/10900
NatomsRetained = 1297   ||  NMapping = 45/50  ||  time = 6.3317 sec |||  145/10900
NatomsRetained = 1297   ||  NMapping = 46/50  ||  time = 6.3518 sec |||  146/10900
NatomsRetained = 1297   ||  NMapping = 47/50  ||  time = 6.2645 sec |||  147/10900
NatomsRetained = 1297   ||  NMapping = 48/50  ||  time = 6.1881 sec |||  148/10900
NatomsRetained = 1297   ||  NMapping = 49/50  ||  time = 6.2256 sec |||  149/10900
NatomsRetained = 1297   ||  NMapping = 50/50  ||  time = 6.0621 sec |||  150/10900
NatomsRetained = 1291   ||  NMapping = 1/50  ||  time = 6.1970 sec |||  151/10900
NatomsRetained = 1291   ||  NMapping = 2/50  ||  time = 6.1377 sec |||  152/10900
NatomsRetained = 1291   ||  NMapping = 3/50  ||  time = 6.0493 sec |||  153/10900
NatomsRetained = 1291   ||  NMapping = 4/50  ||  time = 6.3942 sec |||  154/10900
