NatomsRetained = 1297   ||  NMapping = 32/50  ||  time = 6.0170 sec |||  132/10900
NatomsRetained = 1297   ||  NMapping = 33/50  ||  time = 6.0149 sec |||  133/10900
NatomsRetained = 1297   ||  NMapping = 34/50  ||  time = 6.0351 sec |||  134/10900
NatomsRetained = 1297   ||  NMapping = 35/50  ||  time = 5.7513 sec |||  135/10900
NatomsRetained = 1297   ||  NMapping = 36/50  ||  time = 6.1807 sec |||  136/10900
NatomsRetained = 1297   ||  NMapping = 37/50  ||  time = 5.7474 sec |||  137/10900
NatomsRetained = 1297   ||  NMapping = 38/50  ||  time = 5.9100 sec |||  138/10900
NatomsRetained = 1297   ||  NMapping = 39/50  ||  time = 5.7667 sec |||  139/10900
NatomsRetained = 1297   ||  NMapping = 40/50  ||  time = 5.9440 sec |||  140/10900
NatomsRetained = 1297   ||  NMapping = 41/50  ||  time = 6.1409 sec |||  141/10900
NatomsRetained = 1297   ||  NMapping = 42/50  ||  time = 5.9419 sec |||  142/10900
NatomsRetained = 1297   ||  NMapping = 43/50  ||  time = 5.9701 sec |||  143/10900
NatomsRetained = 1297   ||  NMapping = 44/50  ||  time = 6.0256 sec |||  144/10900
NatomsRetained = 1297   ||  NMapping = 45/50  ||  time = 5.8977 sec |||  145/10900
NatomsRetained = 1297   ||  NMapping = 46/50  ||  time = 6.0466 sec |||  146/10900
NatomsRetained = 1297   ||  NMapping = 47/50  ||  time = 6.3291 sec |||  147/10900
NatomsRetained = 1297   ||  NMapping = 48/50  ||  time = 5.7469 sec |||  148/10900
NatomsRetained = 1297   ||  NMapping = 49/50  ||  time = 5.9939 sec |||  149/10900
NatomsRetained = 1297   ||  NMapping = 50/50  ||  time = 5.9512 sec |||  150/10900
NatomsRetained = 1291   ||  NMapping = 1/50  ||  time = 5.8546 sec |||  151/10900
NatomsRetained = 1291   ||  NMapping = 2/50  ||  time = 5.9461 sec |||  152/10900
NatomsRetained = 1291   ||  NMapping = 3/50  ||  time = 5.9720 sec |||  153/10900
NatomsRetained = 1291   ||  NMapping = 4/50  ||  time = 5.9879 sec |||  154/10900
NatomsRetained = 1291   ||  NMapping = 5/50  ||  time = 5.9871 sec |||  155/10900
NatomsRetained = 1291   ||  NMapping = 6/50  ||  time = 6.0102 sec |||  156/10900
NatomsRetained = 1291   ||  NMapping = 7/50  ||  time = 5.8350 sec |||  157/10900
NatomsRetained = 1291   ||  NMapping = 8/50  ||  time = 5.7612 sec |||  158/10900
NatomsRetained = 1291   ||  NMapping = 9/50  ||  time = 6.0595 sec |||  159/10900
NatomsRetained = 1291   ||  NMapping = 10/50  ||  time = 6.2889 sec |||  160/10900
NatomsRetained = 1291   ||  NMapping = 11/50  ||  time = 5.9307 sec |||  161/10900
NatomsRetained = 1291   ||  NMapping = 12/50  ||  time = 5.8091 sec |||  162/10900
NatomsRetained = 1291   ||  NMapping = 13/50  ||  time = 6.1561 sec |||  163/10900
NatomsRetained = 1291   ||  NMapping = 14/50  ||  time = 6.2564 sec |||  164/10900
NatomsRetained = 1291   ||  NMapping = 15/50  ||  time = 5.7719 sec |||  165/10900
NatomsRetained = 1291   ||  NMapping = 16/50  ||  time = 6.0684 sec |||  166/10900
NatomsRetained = 1291   ||  NMapping = 17/50  ||  time = 6.0798 sec |||  167/10900
NatomsRetained = 1291   ||  NMapping = 18/50  ||  time = 5.8801 sec |||  168/10900
NatomsRetained = 1291   ||  NMapping = 19/50  ||  time = 5.8988 sec |||  169/10900
NatomsRetained = 1291   ||  NMapping = 20/50  ||  time = 5.9990 sec |||  170/10900
