NatomsRetained = 1079   ||  NMapping = 5/50  ||  time = 5.5395 sec |||  105/10900
NatomsRetained = 1079   ||  NMapping = 6/50  ||  time = 5.4007 sec |||  106/10900
NatomsRetained = 1079   ||  NMapping = 7/50  ||  time = 5.3985 sec |||  107/10900
NatomsRetained = 1079   ||  NMapping = 8/50  ||  time = 5.4926 sec |||  108/10900
NatomsRetained = 1079   ||  NMapping = 9/50  ||  time = 5.5801 sec |||  109/10900
NatomsRetained = 1079   ||  NMapping = 10/50  ||  time = 5.3849 sec |||  110/10900
NatomsRetained = 1079   ||  NMapping = 11/50  ||  time = 5.6712 sec |||  111/10900
NatomsRetained = 1079   ||  NMapping = 12/50  ||  time = 5.5123 sec |||  112/10900
NatomsRetained = 1079   ||  NMapping = 13/50  ||  time = 5.5589 sec |||  113/10900
NatomsRetained = 1079   ||  NMapping = 14/50  ||  time = 5.4091 sec |||  114/10900
NatomsRetained = 1079   ||  NMapping = 15/50  ||  time = 5.5140 sec |||  115/10900
NatomsRetained = 1079   ||  NMapping = 16/50  ||  time = 5.4677 sec |||  116/10900
NatomsRetained = 1079   ||  NMapping = 17/50  ||  time = 5.4149 sec |||  117/10900
NatomsRetained = 1079   ||  NMapping = 18/50  ||  time = 5.4528 sec |||  118/10900
NatomsRetained = 1079   ||  NMapping = 19/50  ||  time = 5.5963 sec |||  119/10900
NatomsRetained = 1079   ||  NMapping = 20/50  ||  time = 5.4987 sec |||  120/10900
NatomsRetained = 1079   ||  NMapping = 21/50  ||  time = 5.5932 sec |||  121/10900
NatomsRetained = 1079   ||  NMapping = 22/50  ||  time = 5.4447 sec |||  122/10900
NatomsRetained = 1079   ||  NMapping = 23/50  ||  time = 5.5181 sec |||  123/10900
NatomsRetained = 1079   ||  NMapping = 24/50  ||  time = 5.5748 sec |||  124/10900
NatomsRetained = 1079   ||  NMapping = 25/50  ||  time = 5.5415 sec |||  125/10900
NatomsRetained = 1079   ||  NMapping = 26/50  ||  time = 5.5978 sec |||  126/10900
NatomsRetained = 1079   ||  NMapping = 27/50  ||  time = 5.6929 sec |||  127/10900
NatomsRetained = 1079   ||  NMapping = 28/50  ||  time = 5.4658 sec |||  128/10900
NatomsRetained = 1079   ||  NMapping = 29/50  ||  time = 5.5367 sec |||  129/10900
NatomsRetained = 1079   ||  NMapping = 30/50  ||  time = 5.4990 sec |||  130/10900
NatomsRetained = 1079   ||  NMapping = 31/50  ||  time = 5.4275 sec |||  131/10900
NatomsRetained = 1079   ||  NMapping = 32/50  ||  time = 5.4337 sec |||  132/10900
NatomsRetained = 1079   ||  NMapping = 33/50  ||  time = 5.3735 sec |||  133/10900
NatomsRetained = 1079   ||  NMapping = 34/50  ||  time = 5.4859 sec |||  134/10900
NatomsRetained = 1079   ||  NMapping = 35/50  ||  time = 5.5550 sec |||  135/10900
NatomsRetained = 1079   ||  NMapping = 36/50  ||  time = 5.4495 sec |||  136/10900
NatomsRetained = 1079   ||  NMapping = 37/50  ||  time = 5.4291 sec |||  137/10900
NatomsRetained = 1079   ||  NMapping = 38/50  ||  time = 5.4524 sec |||  138/10900
NatomsRetained = 1079   ||  NMapping = 39/50  ||  time = 5.3623 sec |||  139/10900
NatomsRetained = 1079   ||  NMapping = 40/50  ||  time = 5.3574 sec |||  140/10900
NatomsRetained = 1079   ||  NMapping = 41/50  ||  time = 5.5603 sec |||  141/10900
NatomsRetained = 1079   ||  NMapping = 42/50  ||  time = 5.4991 sec |||  142/10900
NatomsRetained = 1079   ||  NMapping = 43/50  ||  time = 5.5423 sec |||  143/10900
NatomsRetained = 1079   ||  NMapping = 44/50  ||  time = 5.4060 sec |||  144/10900
NatomsRetained = 1079   ||  NMapping = 45/50  ||  time = 5.5598 sec |||  145/10900
NatomsRetained = 1079   ||  NMapping = 46/50  ||  time = 5.4241 sec |||  146/10900
NatomsRetained = 1079   ||  NMapping = 47/50  ||  time = 5.5642 sec |||  147/10900
NatomsRetained = 1079   ||  NMapping = 48/50  ||  time = 5.4282 sec |||  148/10900
NatomsRetained = 1079   ||  NMapping = 49/50  ||  time = 5.5392 sec |||  149/10900
NatomsRetained = 1079   ||  NMapping = 50/50  ||  time = 5.5763 sec |||  150/10900
NatomsRetained = 1074   ||  NMapping = 1/50  ||  time = 5.5564 sec |||  151/10900
NatomsRetained = 1074   ||  NMapping = 2/50  ||  time = 5.3891 sec |||  152/10900
NatomsRetained = 1074   ||  NMapping = 3/50  ||  time = 5.4558 sec |||  153/10900
NatomsRetained = 1074   ||  NMapping = 4/50  ||  time = 5.4640 sec |||  154/10900
NatomsRetained = 1074   ||  NMapping = 5/50  ||  time = 5.6054 sec |||  155/10900
NatomsRetained = 1074   ||  NMapping = 6/50  ||  time = 5.4201 sec |||  156/10900
NatomsRetained = 1074   ||  NMapping = 7/50  ||  time = 5.3361 sec |||  157/10900
NatomsRetained = 1074   ||  NMapping = 8/50  ||  time = 5.5056 sec |||  158/10900
NatomsRetained = 1074   ||  NMapping = 9/50  ||  time = 5.4652 sec |||  159/10900
NatomsRetained = 1074   ||  NMapping = 10/50  ||  time = 5.4802 sec |||  160/10900
NatomsRetained = 1074   ||  NMapping = 11/50  ||  time = 5.4781 sec |||  161/10900
NatomsRetained = 1074   ||  NMapping = 12/50  ||  time = 5.3018 sec |||  162/10900
NatomsRetained = 1074   ||  NMapping = 13/50  ||  time = 5.5166 sec |||  163/10900
NatomsRetained = 1074   ||  NMapping = 14/50  ||  time = 5.3484 sec |||  164/10900
NatomsRetained = 1074   ||  NMapping = 15/50  ||  time = 5.5019 sec |||  165/10900
NatomsRetained = 1074   ||  NMapping = 16/50  ||  time = 5.5445 sec |||  166/10900
NatomsRetained = 1074   ||  NMapping = 17/50  ||  time = 5.5990 sec |||  167/10900
NatomsRetained = 1074   ||  NMapping = 18/50  ||  time = 5.3621 sec |||  168/10900
NatomsRetained = 1074   ||  NMapping = 19/50  ||  time = 5.4086 sec |||  169/10900
NatomsRetained = 1074   ||  NMapping = 20/50  ||  time = 5.4655 sec |||  170/10900
NatomsRetained = 1074   ||  NMapping = 21/50  ||  time = 5.4669 sec |||  171/10900
NatomsRetained = 1074   ||  NMapping = 22/50  ||  time = 5.5100 sec |||  172/10900
