NatomsRetained = 952   ||  NMapping = 48/50  ||  time = 4.9825 sec |||  98/11950
NatomsRetained = 952   ||  NMapping = 49/50  ||  time = 5.0741 sec |||  99/11950
NatomsRetained = 952   ||  NMapping = 50/50  ||  time = 5.1757 sec |||  100/11950
NatomsRetained = 948   ||  NMapping = 1/50  ||  time = 4.9491 sec |||  101/11950
NatomsRetained = 948   ||  NMapping = 2/50  ||  time = 5.0545 sec |||  102/11950
NatomsRetained = 948   ||  NMapping = 3/50  ||  time = 5.0176 sec |||  103/11950
NatomsRetained = 948   ||  NMapping = 4/50  ||  time = 4.9539 sec |||  104/11950
NatomsRetained = 948   ||  NMapping = 5/50  ||  time = 5.0073 sec |||  105/11950
NatomsRetained = 948   ||  NMapping = 6/50  ||  time = 5.0707 sec |||  106/11950
NatomsRetained = 948   ||  NMapping = 7/50  ||  time = 5.1019 sec |||  107/11950
NatomsRetained = 948   ||  NMapping = 8/50  ||  time = 5.1090 sec |||  108/11950
NatomsRetained = 948   ||  NMapping = 9/50  ||  time = 5.0319 sec |||  109/11950
NatomsRetained = 948   ||  NMapping = 10/50  ||  time = 4.9286 sec |||  110/11950
NatomsRetained = 948   ||  NMapping = 11/50  ||  time = 4.9662 sec |||  111/11950
NatomsRetained = 948   ||  NMapping = 12/50  ||  time = 5.0534 sec |||  112/11950
NatomsRetained = 948   ||  NMapping = 13/50  ||  time = 4.9942 sec |||  113/11950
NatomsRetained = 948   ||  NMapping = 14/50  ||  time = 5.0655 sec |||  114/11950
NatomsRetained = 948   ||  NMapping = 15/50  ||  time = 5.0171 sec |||  115/11950
NatomsRetained = 948   ||  NMapping = 16/50  ||  time = 4.9258 sec |||  116/11950
NatomsRetained = 948   ||  NMapping = 17/50  ||  time = 5.0926 sec |||  117/11950
NatomsRetained = 948   ||  NMapping = 18/50  ||  time = 5.1030 sec |||  118/11950
NatomsRetained = 948   ||  NMapping = 19/50  ||  time = 5.0341 sec |||  119/11950
NatomsRetained = 948   ||  NMapping = 20/50  ||  time = 5.1127 sec |||  120/11950
NatomsRetained = 948   ||  NMapping = 21/50  ||  time = 5.0244 sec |||  121/11950
NatomsRetained = 948   ||  NMapping = 22/50  ||  time = 5.1044 sec |||  122/11950
NatomsRetained = 948   ||  NMapping = 23/50  ||  time = 5.1094 sec |||  123/11950
NatomsRetained = 948   ||  NMapping = 24/50  ||  time = 4.9833 sec |||  124/11950
NatomsRetained = 948   ||  NMapping = 25/50  ||  time = 5.0123 sec |||  125/11950
NatomsRetained = 948   ||  NMapping = 26/50  ||  time = 5.1394 sec |||  126/11950
NatomsRetained = 948   ||  NMapping = 27/50  ||  time = 5.1519 sec |||  127/11950
NatomsRetained = 948   ||  NMapping = 28/50  ||  time = 4.9506 sec |||  128/11950
NatomsRetained = 948   ||  NMapping = 29/50  ||  time = 4.9581 sec |||  129/11950
NatomsRetained = 948   ||  NMapping = 30/50  ||  time = 5.1886 sec |||  130/11950
NatomsRetained = 948   ||  NMapping = 31/50  ||  time = 5.0461 sec |||  131/11950
NatomsRetained = 948   ||  NMapping = 32/50  ||  time = 4.9235 sec |||  132/11950
NatomsRetained = 948   ||  NMapping = 33/50  ||  time = 5.0780 sec |||  133/11950
NatomsRetained = 948   ||  NMapping = 34/50  ||  time = 4.8880 sec |||  134/11950
NatomsRetained = 948   ||  NMapping = 35/50  ||  time = 4.9404 sec |||  135/11950
NatomsRetained = 948   ||  NMapping = 36/50  ||  time = 5.1283 sec |||  136/11950
NatomsRetained = 948   ||  NMapping = 37/50  ||  time = 5.0976 sec |||  137/11950
NatomsRetained = 948   ||  NMapping = 38/50  ||  time = 5.0643 sec |||  138/11950
NatomsRetained = 948   ||  NMapping = 39/50  ||  time = 5.0911 sec |||  139/11950
NatomsRetained = 948   ||  NMapping = 40/50  ||  time = 4.9875 sec |||  140/11950
NatomsRetained = 948   ||  NMapping = 41/50  ||  time = 5.0480 sec |||  141/11950
NatomsRetained = 948   ||  NMapping = 42/50  ||  time = 5.1924 sec |||  142/11950
NatomsRetained = 948   ||  NMapping = 43/50  ||  time = 4.9570 sec |||  143/11950
NatomsRetained = 948   ||  NMapping = 44/50  ||  time = 5.0232 sec |||  144/11950
NatomsRetained = 948   ||  NMapping = 45/50  ||  time = 5.0142 sec |||  145/11950
NatomsRetained = 948   ||  NMapping = 46/50  ||  time = 4.9541 sec |||  146/11950
NatomsRetained = 948   ||  NMapping = 47/50  ||  time = 4.9464 sec |||  147/11950
NatomsRetained = 948   ||  NMapping = 48/50  ||  time = 5.0913 sec |||  148/11950
NatomsRetained = 948   ||  NMapping = 49/50  ||  time = 5.1729 sec |||  149/11950
NatomsRetained = 948   ||  NMapping = 50/50  ||  time = 5.0330 sec |||  150/11950
NatomsRetained = 944   ||  NMapping = 1/50  ||  time = 5.0689 sec |||  151/11950
NatomsRetained = 944   ||  NMapping = 2/50  ||  time = 5.0819 sec |||  152/11950
NatomsRetained = 944   ||  NMapping = 3/50  ||  time = 5.1466 sec |||  153/11950
NatomsRetained = 944   ||  NMapping = 4/50  ||  time = 4.9264 sec |||  154/11950
NatomsRetained = 944   ||  NMapping = 5/50  ||  time = 5.0066 sec |||  155/11950
NatomsRetained = 944   ||  NMapping = 6/50  ||  time = 5.1013 sec |||  156/11950
NatomsRetained = 944   ||  NMapping = 7/50  ||  time = 5.0251 sec |||  157/11950
NatomsRetained = 944   ||  NMapping = 8/50  ||  time = 5.0400 sec |||  158/11950
NatomsRetained = 944   ||  NMapping = 9/50  ||  time = 4.9966 sec |||  159/11950
NatomsRetained = 944   ||  NMapping = 10/50  ||  time = 5.0182 sec |||  160/11950
NatomsRetained = 944   ||  NMapping = 11/50  ||  time = 5.0727 sec |||  161/11950
NatomsRetained = 944   ||  NMapping = 12/50  ||  time = 5.0434 sec |||  162/11950
NatomsRetained = 944   ||  NMapping = 13/50  ||  time = 5.0938 sec |||  163/11950
NatomsRetained = 944   ||  NMapping = 14/50  ||  time = 5.1083 sec |||  164/11950
NatomsRetained = 944   ||  NMapping = 15/50  ||  time = 5.0322 sec |||  165/11950
NatomsRetained = 944   ||  NMapping = 16/50  ||  time = 5.0094 sec |||  166/11950
NatomsRetained = 944   ||  NMapping = 17/50  ||  time = 4.9286 sec |||  167/11950
NatomsRetained = 944   ||  NMapping = 18/50  ||  time = 5.0648 sec |||  168/11950
NatomsRetained = 944   ||  NMapping = 19/50  ||  time = 5.0810 sec |||  169/11950
NatomsRetained = 944   ||  NMapping = 20/50  ||  time = 4.8710 sec |||  170/11950
NatomsRetained = 944   ||  NMapping = 21/50  ||  time = 5.0421 sec |||  171/11950
NatomsRetained = 944   ||  NMapping = 22/50  ||  time = 4.9521 sec |||  172/11950
NatomsRetained = 944   ||  NMapping = 23/50  ||  time = 4.9803 sec |||  173/11950
NatomsRetained = 944   ||  NMapping = 24/50  ||  time = 4.9968 sec |||  174/11950
NatomsRetained = 944   ||  NMapping = 25/50  ||  time = 5.2480 sec |||  175/11950
NatomsRetained = 944   ||  NMapping = 26/50  ||  time = 4.8716 sec |||  176/11950
NatomsRetained = 944   ||  NMapping = 27/50  ||  time = 5.0494 sec |||  177/11950
NatomsRetained = 944   ||  NMapping = 28/50  ||  time = 4.9214 sec |||  178/11950
NatomsRetained = 944   ||  NMapping = 29/50  ||  time = 4.9718 sec |||  179/11950
